,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Requirements Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORT TABLE - DO NOT PRINT  - DO NOT DELETE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SSI Update Step 1: Please download the ATCP SSI latest file from the site link below and unzip it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New,Program Control Services,Program Control Services,Engagement Management,,,10 - Analyst,0.20,No,Critical,Offshore PMO,Short Term,No,Yes,Client Delivery & Operations,DC,01 October 2018,31 July 2019,Manila,Manila,No,,,,36,,,,UR388640,R487487,,
,,,,New,Mobilization Program Management,Mobilization Program Management,Service Mobilization,,,7 - Manager,1.00,No,Critical,Offshore Mobilization,Short Term,No,Yes,Client Delivery & Operations,DC,01 October 2018,31 October 2018,Manila,Manila,No,,,,62,,,,UR388641,R487488,,
,,,,New,Service Transition,Service Transition,Service Mobilization,Service Introduction,Service Introduction,9 - Consultant,1.00,No,Critical,Offshore Service Introduction,Short Term,No,Yes,Client Delivery & Operations,DC,01 June 2019,30 June 2019,Manila,Manila,No,,,,52,,,,UR388642,R487469,,
,,,,New,Salesforce Marketing Cloud Email Studio,Salesforce,Software as a Service,Salesforce Marketing Cloud Social Studio,Salesforce Marketing Cloud Social Studio,7 - Manager,0.50,No,Critical,Offshore Marketing Cloud SME / TA,Short Term,No,Yes,Client Delivery & Operations,DC,01 October 2018,31 December 2018,Manila,Manila,No,,,,62,,,,UR388643,R487470,,
,,,,New,Salesforce,Salesforce,Software as a Service,Salesforce Cloud,Salesforce Cloud,7 - Manager,0.50,No,Critical,Offshore Service Cloud SME / TA,Short Term,No,Yes,Client Delivery & Operations,DC,01 October 2018,31 December 2018,Manila,Manila,No,,,,62,,,,UR388644,R487471,,
,,,,New,Demandware,eCommerce Platforms,Digital & Content,,,8 - Consultant,1.00,No,Critical,Offshore SFCC Tech Lead,Short Term,No,Yes,Client Delivery & Operations,DC,01 October 2018,31 July 2019,Manila,Manila,No,,,,57,,,,UR388645,R487472,,
,,,,New,Demandware,eCommerce Platforms,Digital & Content,,,9 - Consultant,1.00,No,Critical,Offshore SFCC Sr. Dev OMS,Short Term,No,Yes,Client Delivery & Operations,DC,01 November 2018,31 July 2019,Manila,Manila,No,,,,52,,,,UR388646,R487473,,
,,,,New,Demandware,eCommerce Platforms,Digital & Content,,,10 - Analyst,1.00,No,Critical,Offshore SFCC Dev eCommerce 1,Short Term,No,Yes,Client Delivery & Operations,DC,01 November 2018,31 July 2019,Manila,Manila,No,,,,37,,,,UR388647,R487474,,
,,,,New,Demandware,eCommerce Platforms,Digital & Content,,,11 - Analyst,1.00,No,Critical,Offshore SFCC Dev eCommerce 2,Short Term,No,Yes,Client Delivery & Operations,DC,01 November 2018,31 July 2019,Manila,Manila,No,,,,32,,,,UR388648,R487475,,
,,,,New,Demandware,eCommerce Platforms,Digital & Content,,,9 - Consultant,1.00,No,Critical,Offshore SFCC Senior Dev eCommerce 3,Short Term,No,Yes,Client Delivery & Operations,DC,01 November 2018,31 July 2019,Manila,Manila,No,,,,52,,,,UR388631,R487493,,
